Log_ID,Product_ID,Product_Name,Category,Country_of_Origin,Regulatory_Document,SOP_ID,SOP_Rule,Expected_Finding,Actual_Finding,Deviation_Type,Severity,Reviewer_Name,Date_Logged,Status,Action_Taken
DEV001,PROD003,boAt Airdopes 131 TWS,Electronics,India,BIS,SOP002,MRP must be printed on outer packaging,MRP printed clearly on box,"MRP missing from outer box, only on inner tray",Wrong Placement,High,Anu,2025-11-21,Resolved,Seller notified to reprint packaging with MRP on outer box
DEV002,PROD005,boAt Stone 352 Bluetooth Speaker,Electronics,India,BIS,SOP003,Manufacturer address must match registration,"Registered address: Khasra 401, MG Road, Gurugram","Packaging shows: Plot 22, Sector 5, Noida",Address Mismatch,High,Joel,2025-11-22,Escalated,Escalated to Process Expert — seller asked to provide updated registration
DEV003,PROD010,Realme 11 Pro Plus 5G,Electronics,India,BIS,SOP001,BIS certification number must be present on label,BIS R-XXXXX number printed below barcode,BIS certification number absent from label,Missing Information,High,April,2025-11-30,Resolved,Seller submitted revised label with BIS number — recheck approved
DEV004,PROD012,Mi Smart Band 7,Electronics,India,BIS,SOP002,MRP must be printed on outer packaging,MRP printed on outer packaging,MRP sticker placed over original price — original not visible,Non-Compliant Label,Medium,Autumn,2025-12-01,Rejected,Rejected — stickering over original price not permitted under BIS SOP
DEV005,PROD018,Syska 20W Fast Charger,Electronics,India,BIS,SOP003,Manufacturer address must match registration,"Registered address: Syska Group, Andheri East, Mumbai",Packaging shows warehouse address instead of registered office,Wrong Address Type,Medium,Atlas,2025-12-03,Resolved,Seller corrected packaging to show registered office address
DEV006,PROD022,Micromax IN Note 2,Electronics,India,BIS,SOP001,BIS certification number must be present on label,BIS R-XXXXX clearly printed,BIS number present but printed below minimum readable font size,Font Size Non-Compliant,Low,Anu,2025-12-05,Pending Review,Awaiting updated artwork from seller for font size correction
DEV007,PROD025,Bajaj Majesty 750W Mixer,Electronics,India,BIS,SOP002,MRP must be printed on outer packaging,MRP printed in INR on front panel,MRP printed but without INR symbol — only numeric value shown,Incomplete Information,Medium,Joel,2025-12-08,Resolved,Seller updated label to include INR symbol alongside MRP
DEV008,PROD108,Apple Watch Series 9 GPS,Electronics,USA,FCC,SOP004,FCC ID must be visible on product,FCC ID printed on device back,FCC ID accessible only via Settings menu — not physically printed,Physical Label Missing,High,April,2025-12-10,Escalated,"Escalated — FCC requires physical ID on device, software display not sufficient"
DEV009,PROD105,Apple iPhone 15 Pro 256GB,Electronics,USA,FCC,SOP005,Country of origin label required in English,Made in China printed on device and packaging,Country of origin on box only — device itself has no COO marking,Missing Label on Unit,Medium,Autumn,2025-12-12,Pending Review,Awaiting confirmation from Apple India team on device-level COO placement
DEV010,PROD116,Samsung 43 inch Smart TV,Electronics,South Korea,FCC,SOP005,Country of origin label required in English,Made in South Korea — on back panel,Label present but in Korean script — English version absent,Language Non-Compliance,High,Atlas,2025-12-14,Resolved,Samsung India added English COO label to back panel — re-inspection passed
DEV011,PROD120,Dell XPS 13 Laptop 13th Gen,Electronics,USA,FCC,SOP004,FCC ID must be visible on product,FCC ID on bottom label of laptop,FCC ID label present but partially obscured by warranty void sticker,Label Obstruction,Medium,Anu,2025-12-16,Resolved,Seller repositioned warranty sticker — FCC ID now fully visible
DEV012,PROD034,Tata Tea Premium 500g,Food & Beverages,India,FSSAI,SOP009,Best before date must be in DD/MM/YYYY format,Best before: 15/03/2026,Best before printed as: MAR 2026 — month name used instead of number,Date Format Error,Medium,Joel,2025-12-18,Resolved,Seller updated packaging to use DD/MM/YYYY format as per FSSAI SOP
DEV013,PROD036,Nescafe Classic Coffee 50g,Food & Beverages,India,FSSAI,SOP010,Allergen declaration must be highlighted in bold,Contains milk: printed in bold on back label,Allergen text present but in regular font — not highlighted or bold,Non-Compliant Formatting,High,April,2025-12-20,Escalated,Escalated to compliance team — FSSAI mandate requires bold allergen text
DEV014,PROD039,Haldiram Namkeen Mix 200g,Food & Beverages,India,FSSAI,SOP008,Nutritional information table must be present,"Full nutritional table with calories, fat, protein, carbs per 100g",Nutritional table present but missing sodium and sugar content,Incomplete Data,High,Autumn,2025-12-22,Rejected,Rejected — incomplete nutritional table does not meet FSSAI standard
DEV015,PROD043,India Gate Basmati Rice 1kg,Food & Beverages,India,FSSAI,SOP007,FSSAI license number must appear on front label,FSSAI Lic. No. 10012021XXXXX on front label,FSSAI number present on back label only — not visible on front,Wrong Placement,Medium,Atlas,2025-12-24,Resolved,Seller repositioned FSSAI number to front label as per SOP requirement
DEV016,PROD046,Patanjali Honey 500g,Food & Beverages,India,FSSAI,SOP010,Allergen declaration must be highlighted in bold,Allergen info in bold on front label,No allergen declaration found on label,Missing Information,High,Anu,2025-12-26,Rejected,"Rejected — allergen declaration completely absent, seller must reprint labels"
